id;nombre;descripcion;telefono_negocio;numero_puestos;tarifa;fotografia;fotografia_content_type;impuesto
1;Unbranded Savings Account;seize;Japan maximize;16368;94307;../data/blob/hipster.png;image/png;IVA6
2;Czech Koruna;TCP invoice;New Taiwan Dollar;31692;86136;../data/blob/hipster.png;image/png;ICO
3;turquoise Facilitator input;override deposit;intranet;75318;98466;../data/blob/hipster.png;image/png;IVA0
4;panel;Metal;Licensed Manager Borders;15067;84070;../data/blob/hipster.png;image/png;IPOCONSUMO8
5;generate Money Market Account;Delaware;Refined New York PNG;43380;16007;../data/blob/hipster.png;image/png;IVA6
6;open-source;circuit Engineer Intelligent;SAS deposit;31092;55508;../data/blob/hipster.png;image/png;ICO
7;extend Martinique;Sports program;calculating;1103;20248;../data/blob/hipster.png;image/png;IVA6
8;compressing;XML Liaison;deploy payment;78039;88619;../data/blob/hipster.png;image/png;IVA19
9;withdrawal Clothing;Books;Pants Bacon;38767;9299;../data/blob/hipster.png;image/png;IVA0
10;protocol Awesome;Oklahoma;Generic Granite Chicken Auto Loan Account;60214;26982;../data/blob/hipster.png;image/png;IPOCONSUMO8
