id;nombre;descripcion;valor_minimo;valor_maximo
1;networks;regional e-markets;2191;20109
2;Montana;Practical Granite Chair Implementation;10539;28103
3;interface Baby ROI;Computer Hat Licensed Concrete Sausages;66421;74677
4;transmitter quantifying Court;24 hour system engine Monitored;51500;55338
5;Grass-roots navigate;transmitting;78929;82811
6;azure;Data migration dynamic;50563;27149
7;Synergized artificial intelligence Regional;South Georgia and the South Sandwich Islands;50313;34889
8;Sweden;Silver copying RSS;74835;41451
9;Kids clear-thinking;Som Fish;69394;38480
10;Avon;Fish Sports;71873;53188
